candidate_id,confidence_level,candidate_area_m2,assumed_depth_m,assumed_ice_fraction,scenario_volume_m3,scenario_mass_kg_using_917kg_m3,interpretation
C-029,Medium,8750.0,3,0.1,2625.0,2407125.0,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-029,Medium,8750.0,5,0.01,437.5,401187.5,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-029,Medium,8750.0,5,0.03,1312.5,1203562.5,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-029,Medium,8750.0,5,0.06,2625.0,2407125.0,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-029,Medium,8750.0,5,0.1,4375.0,4011875.0,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,1,0.01,106.25,97431.25,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,1,0.03,318.75,292293.75,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,1,0.06,637.5,584587.5,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,1,0.1,1062.5,974312.5,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,3,0.01,318.75,292293.75,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,3,0.03,956.25,876881.25,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,3,0.06,1912.5,1753762.5,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,3,0.1,3187.5,2922937.5,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,5,0.01,531.25,487156.25,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,5,0.03,1593.75,1461468.75,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,5,0.06,3187.5,2922937.5,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
C-014,Low,10625.0,5,0.1,5312.5,4871562.5,scenario-based potential resource estimate if the candidate patch is later validated; planning-only estimate
